date,btc_price_usd_open,btc_price_usd_high,btc_price_usd_low,btc_price_usd_close,btc_open_interest,btc_funding_rates,eth_price_usd_open,eth_price_usd_high,eth_price_usd_low,eth_price_usd_close,eth_open_interest,eth_funding_rates,btc_mpi,btc_estimated_leverage_ratio,btc_stablecoin_supply_ratio,btc_reserve,btc_reserve_usd,btc_netflow_total,eth_reserve,eth_reserve_usd,eth_netflow_total
6/10/2021,37394.26,38460.48667,35802.77833,36682.935,4186666244,0.00325673,2610.96,2625.105,2426.96,2470.991667,1828262187,0.00949417,-0.666126059,0.10875211,11.31319684,2474785.719,90782403660,15460.82838,20244808.03,50024751929,-35468.71927
6/9/2021,33390.41,37538.51167,32405.45,37393.495,4593220882,-0.01752129,2507.785,2627.126667,2405.788333,2610.903333,1872904968,0.00313491,-0.702010535,0.11880496,11.524837,2459324.89,91962752992,-1312.364676,20280276.75,52949842159,131182.1832
6/8/2021,33568.44167,34060.86667,31000.00167,33389.56,4078428565,-0.01298026,2592.73,2621.506667,2306.655,2507.79,1935427517,-0.00693382,-0.577349212,0.11588614,10.30864823,2460637.255,82159595266,-1354.301916,20149094.56,50529697856,-451239.7339
6/7/2021,35803.665,36802.10667,33299.49667,33567.96333,4351804564,0.00342024,2711.961667,2848.616667,2572.073333,2592.815,1960555882,0.01615835,-0.707299722,0.12344628,10.37528104,2461991.557,82644042311,-14263.68882,20600334.3,53412855772,-59605.78213
6/6/2021,35521.38,36476.28667,35229.83,35803.68167,4211678707,0.00198841,2628.53,2745.1,2614.598333,2711.851667,1936347482,-0.0009574,-0.771921089,0.11138863,11.13675444,2476255.246,88659054546,-13025.27626,20659940.08,56026692938,-39495.71198
6/5/2021,36840.42833,37915.455,34815.10333,35520.90167,4107814897,-0.00503864,2689.896667,2817.003333,2553.556667,2628.593333,1928228788,-0.00309272,-0.696798678,0.10921066,11.05978193,2489280.522,88421488645,3124.352949,20699435.79,54410398926,-55242.58171
6/4/2021,39245.04833,39281.32667,35571.245,36840.42,4089981431,0.00312102,2857.041667,2860.031667,2551.513333,2689.828333,1916803573,-0.00232434,-0.157266155,0.10506667,11.49691637,2486156.169,91591037455,-1560.221868,20754678.37,55826521938,-104313.9214
6/3/2021,37576.13167,39477.535,37171.605,39245.45167,4353842002,-0.00079731,2706.778333,2891.203333,2663.076667,2856.965,2075808992,0.01313571,0.015376497,0.10550737,12.2528712,2487716.391,97631553382,283.7492611,20858992.29,59593410921,-136773.759
6/2/2021,36690.985,38230.415,35921.36333,37575.13333,3926901903,0.00665092,2634.436667,2803.115,2551.881667,2706.708333,1866832721,0.02524718,-0.561376448,0.09809095,11.741902,2487432.642,93465613170,-4271.078582,20995766.05,56829414942,-7899.052134
6/1/2021,37270.38833,37898.80333,35669.59167,36690.69333,3685431177,0.00812988,2706.745,2740.623333,2525.691667,2634.476667,1786455130,0.01222772,-0.726418257,0.09301472,11.44922104,2491703.72,91422337079,-3076.482611,21003665.11,55333665636,40102.70002
5/31/2021,35653.885,37507.605,34164.81167,37268.66333,3802822461,0.00631368,2386.675,2720.44,2273.436667,2706.578333,1828275020,0.01717788,-0.690061403,0.09459514,11.82392624,2494780.203,92977123473,3105.034337,20963562.41,56739523797,-23233.35503
